Alter;Reisetaetigkeit;Abteilung;KmZurArbeit;Ausbildung;PersonalNr;Geschlecht;Verdienst;KostensatzTag;Berufserfahrung;Position;Ehestand;AnzFirmen;ueberstunden;ProzentGehaltserhoehung;StandardHours;AktienOptionen;JahreBerufserfahrung;FortbildungProJahr;WorkLifeBalance;Firmenzugehoerigkeit;DauerLetzteFirmenzugehoerigkeit;Performance;Attrition
53;Selten;Entwicklung;5;3;32;w;19094;1282;5;Manager;geschieden;4;No;11;80;1;26;3;2;14;13;3;No
32;Haeufig;Entwicklung;16;1;33;w;3919;1125;1;Wissenschaftler;ledig;1;Yes;22;80;0;10;5;3;10;2;4;Yes
42;Selten;Vertrieb;8;4;35;m;6825;691;2;Vertrieb;verheiratet;0;No;11;80;1;10;2;3;9;7;3;No
44;Selten;Entwicklung;7;4;36;w;10248;477;3;Produktmanager;verheiratet;3;No;14;80;1;24;4;3;22;6;3;No
46;Selten;Vertrieb;2;4;38;w;18947;705;5;Manager;ledig;3;No;12;80;0;22;2;2;2;2;3;No
33;Selten;Entwicklung;2;3;39;m;2496;924;1;Labortechniker;ledig;4;No;11;80;0;7;3;3;1;1;3;No
44;Selten;Entwicklung;10;4;40;m;6465;1459;2;Produktmanager;verheiratet;2;Yes;13;80;0;9;5;4;4;2;3;No
30;Selten;Entwicklung;9;2;41;m;2206;125;1;Labortechniker;ledig;1;No;13;80;0;10;5;3;10;0;3;No
39;Selten;Vertrieb;5;3;42;m;2086;895;2;Vertriebsmitarbeiter;verheiratet;3;No;14;80;1;19;6;4;1;0;3;Yes
24;Selten;Entwicklung;1;3;45;m;2293;813;1;Wissenschaftler;verheiratet;2;Yes;16;80;1;6;2;2;2;0;3;Yes
43;Selten;Entwicklung;2;2;46;w;2645;1273;1;Wissenschaftler;geschieden;1;No;12;80;2;6;3;2;5;3;3;No
50;Selten;Vertrieb;3;2;47;m;2683;869;1;Vertriebsmitarbeiter;verheiratet;1;Yes;14;80;0;3;2;3;3;2;3;Yes
35;Selten;Vertrieb;2;3;49;w;2014;890;1;Vertriebsmitarbeiter;verheiratet;1;No;13;80;0;2;3;3;2;2;3;No
36;Selten;Entwicklung;5;4;51;w;3419;852;1;Wissenschaftler;verheiratet;9;Yes;14;80;1;6;3;4;1;1;3;No
33;Haeufig;Vertrieb;1;3;52;w;5376;1141;2;Vertrieb;verheiratet;2;No;19;80;2;10;3;3;5;3;3;No
35;Selten;Entwicklung;4;2;53;m;1951;464;1;Labortechniker;geschieden;1;No;12;80;1;1;3;3;1;0;3;No
27;Selten;Entwicklung;2;4;54;w;2341;1240;1;Labortechniker;geschieden;1;No;13;80;1;1;6;3;1;0;3;No
26;Selten;Entwicklung;25;3;55;m;2293;1357;1;Labortechniker;ledig;1;No;12;80;0;1;2;2;1;0;3;Yes
27;Haeufig;Vertrieb;8;3;56;m;8726;994;3;Vertrieb;ledig;1;No;15;80;0;9;0;3;9;8;3;No
30;Haeufig;Entwicklung;1;2;57;w;4011;721;2;Labortechniker;ledig;1;No;23;80;0;12;2;3;12;8;4;No
41;Selten;Entwicklung;12;3;58;w;19545;1360;5;AbteilungsleiterForschung;verheiratet;1;No;12;80;0;23;0;3;22;15;3;Yes
34;Nie;Vertrieb;23;4;60;m;4568;1065;2;Vertrieb;ledig;0;No;20;80;0;10;2;3;9;5;4;No
37;Selten;Entwicklung;19;2;61;m;3022;408;1;Wissenschaftler;verheiratet;4;No;21;80;0;8;1;3;1;0;4;No
46;Haeufig;Vertrieb;5;4;62;m;5772;1211;2;Vertrieb;ledig;4;Yes;21;80;0;14;4;3;9;6;4;No
35;Selten;Entwicklung;8;1;63;m;2269;1229;1;Labortechniker;verheiratet;1;No;19;80;0;1;2;3;1;0;3;No
48;Selten;Entwicklung;1;2;64;m;5381;626;3;Labortechniker;ledig;9;Yes;13;80;0;23;2;3;1;0;3;Yes
28;Selten;Entwicklung;5;4;65;m;3441;1434;1;Labortechniker;ledig;1;Yes;13;80;0;2;3;2;2;2;3;Yes
44;Selten;Vertrieb;1;5;68;w;5454;1488;2;Vertrieb;geschieden;5;Yes;21;80;1;9;2;2;4;3;4;No
35;Nie;Entwicklung;11;2;70;m;9884;1097;3;Produktmanager;verheiratet;2;Yes;13;80;1;10;3;3;4;0;3;No
26;Selten;Vertrieb;23;3;72;w;4157;1443;2;Vertrieb;verheiratet;7;Yes;19;80;1;5;2;2;2;2;3;No
33;Haeufig;Entwicklung;1;2;73;w;13458;515;3;AbteilungsleiterForschung;ledig;1;Yes;12;80;0;15;1;3;15;14;3;No
35;Haeufig;Vertrieb;18;5;74;m;9069;853;3;Vertrieb;verheiratet;1;No;22;80;1;9;3;2;9;8;4;No
35;Selten;Entwicklung;23;4;75;w;4014;1142;1;Labortechniker;verheiratet;3;Yes;15;80;1;4;3;3;2;2;3;No
31;Selten;Entwicklung;7;4;76;m;5915;655;2;Labortechniker;geschieden;3;No;22;80;1;10;3;2;7;7;4;No
37;Selten;Entwicklung;1;4;77;m;5993;1115;2;Abteilungsleiter;geschieden;1;No;18;80;1;7;2;4;7;5;3;No
32;Selten;Entwicklung;1;3;78;m;6162;427;2;Abteilungsleiter;verheiratet;1;Yes;22;80;1;9;3;3;9;8;4;No
38;Haeufig;Entwicklung;29;5;79;w;2406;653;2;Labortechniker;ledig;1;No;11;80;0;10;2;3;10;3;3;No
50;Selten;Entwicklung;7;2;80;w;18740;989;5;AbteilungsleiterForschung;geschieden;5;Yes;12;80;1;29;2;2;27;3;3;No
59;Selten;Vertrieb;25;3;81;w;7637;1435;3;Vertrieb;ledig;7;No;11;80;0;28;3;2;21;16;3;No
36;Selten;Entwicklung;8;3;83;w;10096;1223;3;Produktmanager;geschieden;1;No;13;80;3;17;2;3;17;14;3;No
55;Selten;Entwicklung;8;3;84;w;14756;836;4;Manager;geschieden;2;Yes;14;80;3;21;2;3;5;0;3;No
36;Haeufig;Entwicklung;11;3;85;m;6499;1195;2;Abteilungsleiter;ledig;1;No;13;80;0;6;3;3;6;5;3;No
45;Selten;Entwicklung;7;3;86;m;9724;1339;3;Wissenschaftler;geschieden;2;No;17;80;1;25;2;3;1;0;3;No
35;Haeufig;Entwicklung;1;3;88;m;2194;664;1;Wissenschaftler;verheiratet;4;No;13;80;1;5;2;2;3;2;3;No
36;Selten;Entwicklung;9;3;90;m;3388;318;1;Wissenschaftler;verheiratet;0;Yes;17;80;1;2;0;2;1;0;3;Yes
59;Haeufig;Vertrieb;1;1;91;w;5473;1225;2;Vertrieb;ledig;7;No;11;80;0;20;2;2;4;3;3;No
29;Selten;Entwicklung;2;3;94;m;2703;1328;1;Wissenschaftler;verheiratet;0;No;23;80;1;6;3;3;5;4;4;No
31;Selten;Entwicklung;1;4;95;m;2501;1082;1;Wissenschaftler;ledig;1;No;17;80;0;1;4;3;1;1;3;No
32;Selten;Entwicklung;1;3;96;m;6220;548;2;Wissenschaftler;verheiratet;1;No;17;80;2;10;3;3;10;4;3;No
36;Selten;Entwicklung;6;3;97;w;3038;132;1;Labortechniker;verheiratet;3;No;12;80;0;5;3;3;1;0;3;No
31;Selten;Entwicklung;8;4;98;w;4424;746;2;Abteilungsleiter;ledig;1;No;23;80;0;11;2;3;11;7;4;No
35;Selten;Vertrieb;1;4;100;m;4312;776;2;Vertrieb;ledig;0;No;14;80;0;16;2;3;15;13;3;No
45;Selten;Entwicklung;6;4;101;m;13245;193;3;AbteilungsleiterForschung;verheiratet;4;Yes;14;80;0;17;3;4;0;0;3;No
37;Selten;Entwicklung;7;4;102;m;13664;397;3;AbteilungsleiterForschung;ledig;4;No;13;80;0;16;3;4;5;2;3;No
46;Selten;Personal;5;2;103;m;5021;945;2;Personal;geschieden;8;Yes;22;80;1;16;2;3;4;2;4;No
30;Selten;Entwicklung;1;1;104;m;5126;852;2;Labortechniker;verheiratet;1;Yes;12;80;2;10;1;2;10;8;3;No
35;Selten;Entwicklung;1;3;105;m;2859;1214;1;Wissenschaftler;ledig;1;No;18;80;0;6;3;3;6;4;3;No
55;Selten;Vertrieb;1;2;106;m;10239;111;3;Vertrieb;verheiratet;3;No;14;80;1;24;4;3;1;0;3;No
38;Nie;Entwicklung;6;3;107;w;5329;573;2;Wissenschaftler;geschieden;7;Yes;12;80;3;17;3;3;13;11;3;No
34;Selten;Entwicklung;1;2;110;m;4325;1153;2;Abteilungsleiter;verheiratet;1;No;15;80;0;5;2;3;5;2;3;No
56;Selten;Entwicklung;7;3;112;m;7260;1400;3;Abteilungsleiter;ledig;4;No;11;80;0;37;3;2;6;4;3;No
23;Selten;Vertrieb;2;1;113;m;2322;541;1;Vertriebsmitarbeiter;geschieden;3;No;13;80;1;3;3;3;0;0;3;No
51;Selten;Entwicklung;9;4;116;m;2075;432;1;Labortechniker;verheiratet;3;No;23;80;2;10;4;3;4;2;4;No
30;Selten;Entwicklung;2;3;117;m;4152;288;2;Produktmanager;verheiratet;1;No;19;80;3;11;3;3;11;10;3;No
46;Selten;Vertrieb;9;2;118;m;9619;669;3;Vertrieb;ledig;1;No;16;80;0;9;3;3;9;8;3;Yes
40;Haeufig;Entwicklung;1;4;119;m;13503;530;4;Produktmanager;verheiratet;1;No;22;80;1;22;3;2;22;3;4;No
51;Selten;Vertrieb;21;4;120;m;5441;632;2;Vertrieb;ledig;0;Yes;22;80;0;11;2;1;10;7;4;No
30;Selten;Vertrieb;4;2;121;w;5209;1334;2;Vertrieb;geschieden;1;Yes;12;80;3;11;4;2;11;8;3;No
46;Haeufig;Entwicklung;1;3;124;m;10673;638;3;Produktmanager;verheiratet;2;Yes;13;80;1;21;5;2;10;9;3;No
32;Selten;Vertrieb;6;4;125;m;5010;1093;2;Vertrieb;ledig;1;No;16;80;0;12;0;3;11;8;3;No
54;Selten;Entwicklung;2;4;126;w;13549;1217;3;AbteilungsleiterForschung;verheiratet;9;No;12;80;1;16;5;1;4;3;3;No
24;Selten;Vertrieb;3;2;128;w;4999;1353;2;Vertrieb;verheiratet;0;No;21;80;1;4;2;2;3;2;4;No
28;Nie;Vertrieb;4;3;129;m;4221;120;2;Vertrieb;verheiratet;1;No;15;80;0;5;3;4;5;4;3;No
58;Selten;Vertrieb;10;4;131;m;13872;682;4;Vertrieb;ledig;0;No;13;80;0;38;1;2;37;10;3;No
44;Nie;Entwicklung;23;3;132;m;2042;489;2;Labortechniker;verheiratet;4;No;12;80;1;17;3;4;3;2;3;No
37;Selten;Personal;6;4;133;m;2073;807;1;Personal;geschieden;4;Yes;22;80;0;7;3;3;3;2;4;Yes
32;Selten;Entwicklung;1;1;134;m;2956;827;1;Wissenschaftler;ledig;1;No;13;80;0;1;2;3;1;0;3;No
20;Haeufig;Entwicklung;6;3;137;w;2926;871;1;Labortechniker;ledig;1;Yes;18;80;0;1;5;3;1;0;3;Yes
34;Selten;Entwicklung;6;4;138;w;4809;665;2;Wissenschaftler;ledig;1;No;14;80;0;16;3;3;16;13;3;No
37;Nie;Entwicklung;2;2;139;m;5163;1040;2;Produktmanager;geschieden;5;No;14;80;1;17;2;4;1;0;3;No
59;Nie;Personal;2;4;140;w;18844;1420;5;Manager;verheiratet;9;No;21;80;1;30;3;3;3;2;4;No
50;Haeufig;Entwicklung;1;3;141;w;18172;1115;5;AbteilungsleiterForschung;verheiratet;3;Yes;19;80;0;28;1;2;8;3;3;No
25;Selten;Vertrieb;5;3;142;m;5744;240;2;Vertrieb;ledig;1;Yes;11;80;0;6;1;3;6;4;3;Yes
25;Selten;Entwicklung;7;1;143;m;2889;1280;1;Wissenschaftler;verheiratet;1;No;11;80;2;2;2;3;2;2;3;No
22;Selten;Entwicklung;15;3;144;w;2871;534;1;Labortechniker;ledig;1;No;15;80;0;1;5;3;0;0;3;No
51;Haeufig;Entwicklung;1;4;145;w;7484;1456;3;Produktmanager;ledig;3;No;20;80;0;23;1;2;13;12;4;No
34;Haeufig;Entwicklung;7;3;147;m;6074;658;2;Labortechniker;ledig;1;Yes;24;80;0;9;3;3;9;7;4;Yes
54;Nie;Personal;26;3;148;w;17328;142;4;Manager;ledig;2;Yes;12;80;0;23;3;3;5;3;3;No
24;Selten;Entwicklung;18;1;150;m;2774;1127;1;Labortechniker;verheiratet;0;No;12;80;1;6;2;3;5;3;3;No
34;Selten;Entwicklung;6;4;151;w;4505;1031;2;Wissenschaftler;geschieden;6;No;15;80;1;12;3;3;1;0;3;No
37;Selten;Vertrieb;3;3;152;m;7428;1189;3;Vertrieb;ledig;2;No;12;80;0;12;3;3;5;3;3;No
34;Selten;Entwicklung;5;3;153;w;11631;1354;3;Manager;ledig;2;No;12;80;0;14;6;3;11;10;3;No
36;Haeufig;Vertrieb;11;2;154;w;9738;1467;3;Vertrieb;verheiratet;0;No;14;80;1;10;6;3;9;7;3;No
36;Selten;Entwicklung;3;2;155;w;2835;922;1;Labortechniker;geschieden;5;No;22;80;1;7;2;3;1;0;4;No
43;Haeufig;Vertrieb;26;2;158;m;16959;394;4;Manager;verheiratet;1;Yes;12;80;2;25;3;4;25;12;3;No
30;Haeufig;Entwicklung;23;3;159;m;2613;1312;1;Wissenschaftler;geschieden;1;No;25;80;3;10;2;2;10;7;4;No
33;Nie;Vertrieb;22;2;160;m;6146;750;2;Vertrieb;verheiratet;0;No;13;80;1;8;2;4;7;7;3;No
56;Selten;Entwicklung;14;4;161;w;4963;441;1;Wissenschaftler;verheiratet;9;Yes;18;80;3;7;2;3;5;4;3;Yes
51;Selten;Entwicklung;6;3;162;m;19537;684;5;AbteilungsleiterForschung;ledig;7;No;13;80;0;23;5;3;20;18;3;No
31;Selten;Vertrieb;6;4;163;m;6172;249;2;Vertrieb;verheiratet;4;Yes;18;80;0;12;3;2;7;7;3;Yes
26;Selten;Entwicklung;6;3;164;w;2368;841;1;Wissenschaftler;verheiratet;1;No;19;80;0;5;3;2;5;4;3;No
58;Selten;Entwicklung;23;4;165;w;10312;147;3;Produktmanager;verheiratet;1;No;12;80;1;40;3;2;40;10;3;Yes
19;Selten;Vertrieb;22;1;167;m;1675;528;1;Vertriebsmitarbeiter;ledig;1;Yes;19;80;0;0;2;2;0;0;3;Yes
22;Selten;Entwicklung;2;1;169;m;2523;594;1;Labortechniker;verheiratet;0;No;14;80;1;3;2;3;2;1;3;No
49;Selten;Entwicklung;20;4;170;w;6567;470;2;Abteilungsleiter;verheiratet;1;No;14;80;0;16;2;2;15;11;3;No
43;Haeufig;Entwicklung;28;3;171;w;4739;957;1;Wissenschaftler;ledig;4;No;12;80;0;18;2;3;3;2;3;No
50;Haeufig;Vertrieb;12;3;174;w;9208;809;3;Vertrieb;ledig;4;No;11;80;0;16;3;3;2;2;3;No
31;Selten;Vertrieb;20;3;175;w;4559;542;2;Vertrieb;verheiratet;3;Yes;11;80;1;4;2;3;2;2;3;Yes
41;Selten;Vertrieb;9;1;176;m;8189;802;3;Vertrieb;geschieden;3;Yes;13;80;1;12;2;3;9;7;3;No
26;Selten;Personal;25;1;177;w;2942;1355;1;Personal;verheiratet;1;No;23;80;1;8;3;3;8;7;4;No
36;Selten;Entwicklung;6;2;178;m;4941;216;2;Abteilungsleiter;geschieden;6;No;20;80;2;7;0;3;3;2;4;No
51;Haeufig;Entwicklung;8;4;179;m;10650;1150;3;Abteilungsleiter;ledig;2;No;15;80;0;18;2;3;4;2;3;Yes
39;Selten;Vertrieb;4;4;182;w;5902;1329;2;Vertrieb;verheiratet;4;No;14;80;1;17;1;4;15;11;3;No
25;Selten;Vertrieb;28;3;183;m;8639;959;2;Vertrieb;verheiratet;2;No;18;80;0;6;3;3;2;2;3;No
30;Selten;Personal;9;3;184;m;6347;1240;2;Personal;verheiratet;0;Yes;19;80;0;12;2;1;11;9;3;No
32;Selten;Entwicklung;9;3;190;w;4200;1033;1;Labortechniker;ledig;7;No;22;80;0;10;2;4;5;4;4;Yes
45;Selten;Entwicklung;29;3;192;m;3452;1316;1;Wissenschaftler;ledig;5;No;13;80;0;9;2;2;6;5;3;No
38;Selten;Entwicklung;3;5;193;w;4317;364;2;Wissenschaftler;ledig;3;Yes;20;80;0;19;2;3;3;2;4;No
30;Selten;Entwicklung;18;3;194;w;2632;438;1;Wissenschaftler;ledig;1;No;14;80;0;5;4;2;5;4;3;No
32;Haeufig;Vertrieb;9;2;195;m;4668;689;2;Vertrieb;geschieden;0;No;17;80;3;9;2;4;8;7;3;No
30;Selten;Entwicklung;5;3;197;w;3204;201;1;Wissenschaftler;geschieden;5;No;14;80;1;8;3;3;3;2;3;No
30;Selten;Entwicklung;2;1;198;m;2720;1427;1;Labortechniker;ledig;0;No;13;80;0;6;3;3;5;3;3;No
41;Haeufig;Entwicklung;10;3;199;m;17181;857;4;Manager;geschieden;4;No;13;80;1;21;2;2;7;6;3;No
41;Selten;Entwicklung;9;4;200;m;2238;933;1;Labortechniker;verheiratet;2;No;21;80;1;7;2;3;5;0;4;No
19;Selten;Entwicklung;3;1;201;w;1483;1181;1;Labortechniker;ledig;1;No;14;80;0;1;3;3;1;0;3;No
40;Haeufig;Entwicklung;26;3;202;w;5605;1395;2;Wissenschaftler;geschieden;1;No;11;80;1;20;2;3;20;7;3;No
35;Selten;Vertrieb;1;5;204;m;7295;662;3;Vertrieb;verheiratet;1;No;13;80;2;10;3;3;10;8;3;No
53;Selten;Vertrieb;6;2;205;m;2306;1436;2;Vertriebsmitarbeiter;verheiratet;2;Yes;20;80;1;13;3;1;7;7;4;No
45;Selten;Entwicklung;9;3;206;m;2348;194;2;Labortechniker;geschieden;8;No;18;80;1;20;2;1;17;9;3;No
32;Haeufig;Vertrieb;8;3;207;w;8998;967;3;Vertrieb;ledig;1;No;14;80;0;9;2;3;9;8;3;No
29;Nie;Entwicklung;1;1;208;m;4319;1496;2;Abteilungsleiter;verheiratet;1;No;13;80;1;10;1;3;10;7;3;No
51;Selten;Entwicklung;7;4;211;m;6132;1169;2;Abteilungsleiter;verheiratet;2;No;17;80;0;10;2;3;1;0;3;No
58;Selten;Entwicklung;9;3;214;w;3346;1145;1;Wissenschaftler;verheiratet;4;Yes;20;80;1;9;3;2;1;0;4;No
40;Selten;Vertrieb;4;4;215;m;10855;630;3;Vertrieb;verheiratet;7;No;11;80;1;15;2;2;12;11;3;No
34;Haeufig;Vertrieb;2;4;216;w;2231;303;1;Vertriebsmitarbeiter;verheiratet;6;No;18;80;1;6;3;3;4;3;3;No
22;Selten;Entwicklung;19;1;217;m;2323;1256;1;Wissenschaftler;verheiratet;1;No;24;80;2;2;6;3;2;2;4;No
27;Nie;Entwicklung;9;3;218;m;2024;691;1;Wissenschaftler;geschieden;6;No;18;80;1;6;1;1;2;2;3;No
28;Selten;Entwicklung;21;3;221;m;2713;440;1;Wissenschaftler;verheiratet;1;No;11;80;1;5;2;1;5;2;3;No
57;Selten;Entwicklung;24;2;223;m;9439;334;3;Produktmanager;geschieden;3;Yes;16;80;1;12;2;1;5;3;3;No
27;Nie;Entwicklung;3;3;224;m;2566;1450;1;Wissenschaftler;geschieden;1;Yes;15;80;1;1;2;2;1;1;3;No
50;Selten;Entwicklung;11;3;226;w;19926;1452;5;Manager;ledig;3;No;15;80;0;21;5;3;5;4;3;No
41;Selten;Entwicklung;14;3;227;m;2451;465;1;Wissenschaftler;geschieden;4;No;12;80;1;13;2;3;9;8;3;No
30;Selten;Vertrieb;5;3;228;w;9419;1339;3;Vertrieb;verheiratet;2;No;12;80;1;12;2;3;10;9;3;No
38;Selten;Vertrieb;1;4;230;w;8686;702;2;Vertrieb;ledig;4;No;22;80;0;12;2;4;8;3;4;No
32;Selten;Entwicklung;6;5;231;m;3038;120;1;Wissenschaftler;ledig;3;No;20;80;0;8;2;3;5;4;4;No
27;Selten;Entwicklung;17;3;233;m;3058;1157;1;Wissenschaftler;verheiratet;0;Yes;16;80;1;6;3;2;5;2;3;No
19;Haeufig;Vertrieb;1;1;235;w;2325;602;1;Vertriebsmitarbeiter;ledig;0;No;21;80;0;1;5;4;0;0;4;Yes
36;Haeufig;Entwicklung;3;2;238;m;2088;1480;1;Labortechniker;ledig;4;No;12;80;0;13;3;2;8;7;3;No
30;Nie;Entwicklung;9;3;239;m;3072;111;2;Labortechniker;geschieden;1;No;11;80;2;12;4;3;12;9;3;No
45;Selten;Vertrieb;4;2;240;w;5006;1268;2;Vertrieb;geschieden;4;Yes;11;80;1;9;3;4;5;4;3;No
56;Selten;Entwicklung;8;3;241;w;4257;713;1;Wissenschaftler;geschieden;4;Yes;18;80;1;19;3;3;2;2;3;No
33;Selten;Entwicklung;2;3;242;m;2500;134;1;Wissenschaftler;ledig;0;No;14;80;0;4;2;4;3;1;3;No
19;Selten;Entwicklung;2;3;243;m;1102;303;1;Labortechniker;ledig;1;No;22;80;0;1;3;2;1;0;4;Yes
46;Selten;Vertrieb;1;2;244;w;10453;526;3;Vertrieb;geschieden;1;No;25;80;3;24;2;3;24;13;4;No
38;Selten;Entwicklung;9;2;245;w;2288;1380;1;Labortechniker;ledig;1;No;12;80;0;2;3;3;2;2;3;No
31;Selten;Entwicklung;12;1;246;w;3929;140;1;Wissenschaftler;verheiratet;8;Yes;23;80;1;7;0;3;4;2;4;No
34;Selten;Entwicklung;27;2;247;w;2311;629;1;Wissenschaftler;ledig;2;No;15;80;0;9;3;3;3;2;3;No
41;Selten;Vertrieb;20;2;248;w;3140;1356;1;Vertriebsmitarbeiter;ledig;1;Yes;22;80;0;4;5;2;4;3;4;Yes
50;Selten;Entwicklung;1;3;249;m;3690;328;1;Labortechniker;verheiratet;2;No;15;80;1;5;2;2;3;2;3;No
53;Selten;Entwicklung;13;2;250;w;4450;1084;2;Abteilungsleiter;geschieden;1;No;11;80;2;5;3;3;4;2;3;No
33;Selten;Entwicklung;14;3;252;w;2756;931;1;Wissenschaftler;verheiratet;1;No;13;80;1;8;5;3;8;7;3;No
40;Selten;Entwicklung;4;1;253;w;19033;989;5;Manager;verheiratet;1;No;14;80;1;21;2;3;20;8;3;No
55;Selten;Entwicklung;14;4;254;m;18722;692;5;AbteilungsleiterForschung;ledig;8;No;11;80;0;36;3;3;24;15;3;No
34;Haeufig;Entwicklung;2;1;256;m;9547;1069;2;Abteilungsleiter;verheiratet;1;No;17;80;0;10;2;2;10;9;3;No
51;Selten;Entwicklung;3;3;258;w;13734;313;4;Produktmanager;ledig;3;No;18;80;0;21;6;3;7;7;3;No
52;Selten;Entwicklung;1;4;259;m;19999;699;5;Manager;verheiratet;0;No;14;80;1;34;5;3;33;18;3;No
27;Selten;Entwicklung;9;3;260;w;2279;894;1;Wissenschaftler;ledig;1;No;16;80;0;7;2;2;7;7;3;No
35;Selten;Entwicklung;23;2;261;m;5916;556;2;Abteilungsleiter;verheiratet;3;Yes;13;80;0;8;1;3;1;0;3;Yes
43;Nie;Entwicklung;7;3;262;m;2089;1344;1;Wissenschaftler;geschieden;4;No;14;80;3;7;3;4;5;4;3;No
45;Nie;Entwicklung;2;2;264;m;16792;1195;4;Manager;verheiratet;9;No;23;80;1;22;1;3;20;8;4;No
37;Selten;Entwicklung;21;3;267;m;3564;290;1;Wissenschaftler;verheiratet;1;Yes;12;80;1;8;3;2;8;7;3;No
35;Haeufig;Entwicklung;2;3;269;w;4425;138;2;Labortechniker;ledig;5;No;11;80;0;10;5;3;6;2;3;No
42;Nie;Entwicklung;21;2;270;w;5265;926;2;Abteilungsleiter;geschieden;2;No;16;80;1;11;5;3;5;3;3;No
38;Selten;Entwicklung;2;4;271;m;6553;1261;2;Abteilungsleiter;verheiratet;9;No;14;80;0;14;3;3;1;0;3;No
38;Selten;Entwicklung;29;3;273;m;6261;1084;2;Abteilungsleiter;verheiratet;3;No;18;80;1;9;3;1;7;7;3;No
27;Haeufig;Entwicklung;1;1;274;m;4298;472;2;Abteilungsleiter;verheiratet;5;No;19;80;1;6;1;3;2;2;3;No
49;Nie;Entwicklung;18;4;275;m;6804;1002;2;Abteilungsleiter;geschieden;1;Yes;15;80;2;7;0;3;7;7;3;No
34;Haeufig;Entwicklung;10;4;277;m;3815;878;1;Wissenschaftler;geschieden;1;Yes;17;80;1;5;4;4;5;3;3;No
